公司中文名称,年份,"流动资产周转率
[报告期] 2012年报
[单位] 次","应收账款周转率
[报告期] 2012年报
[单位] 次","财务费用
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2012年报","流动比率
[报告期] 2012年报","速动比率
[报告期] 2012年报","现金比率
[报告期] 2012年报","经营活动现金净流量(TTM)
[报告期] 2012年报
[单位] 元","流动负债合计
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2012年报
[单位] %","利润总额(TTM)
[报告期] 2012年报
[单位] 元","非流动负债合计
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2012年报
[单位] 元","长期资本负债率
[报告期] 2012年报
[单位] %","现金流量利息保障倍数
[报告期] 2012年报","负债合计
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2012年报
[单位] %","总资产报酬率ROA
[报告期] 2012年报
[单位] %","主营业务成本
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2012年报
[单位] %","存货周转率
[报告期] 2012年报
[单位] 次","营运资本周转率
[报告期] 2012年报
[单位] 次","非流动资产周转率
[报告期] 2012年报
[单位] 次","总资产周转率
[报告期] 2012年报
[单位] 次","成本费用利润率
[报告期] 2012年报
[单位] %","营业收入(同比增长率)
[报告期] 2012年报
[单位] %","总资产(同比增长率)
[报告期] 2012年报
[单位] %","大股东持股比例
[日期] 2013-03-01
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2012年报
[单位] 元"
长春一汽富维汽车零部件股份有限公司,2012,4.25,23.749,"6,945,424.14","7,676,355,283.61",0.4277,1.3151,0.8538,0.4664,"459,537,513.42","1,412,197,131.53",29.9588,"466,928,705.73","21,318,516.74","3,351,441,449.90","5,151,627.23",0.7294,38.2228,"1,433,515,648.27",6.0827,10.5966,"7,247,369,939.27","14,424,676.90",13.4809,12.5214,14.8068,2.898,1.7231,5.9559,9.9541,15.9959,20.14,"132,657,426.72","4,784,957,098.17","450,579,722.13"
富奥汽车零部件股份有限公司,2012,0,,"-71,870.14",0,,0.9372,0.9372,0.0064,"-2,967,576.10","26,253,591.28",106.6952,"-3,689,015.61",,"-1,647,432.79","-75,082.64",,-113.3528,"26,253,591.28",,-8.2932,,,,,0,,0,,-100,-62.8134,22.54,,"24,606,158.49","-3,689,015.61"
安徽江淮汽车集团股份有限公司,2012,3.5319,98.8899,"-46,779,784.65","29,116,754,129.28",2.1825,0.8402,0.7442,0.6117,"2,994,540,092.92","11,539,109,001.52",68.5782,"551,471,392.96","1,881,081,245.76","6,148,987,808.57","-51,984,228.17",23.9083,47.5011,"13,420,190,247.28",1.8933,2.912,"24,802,311,172.12","663,401,495.06",8.2644,19.4382,,3.2708,1.6982,1.7965,-6.1728,29.5397,34.76,"871,315,160.27","19,569,178,055.85","504,796,543.03"
一汽轿车股份有限公司,2012,2.4481,279.3889,"39,120,161.39","23,384,904,674.19",1.1466,1.069,0.7719,0.6029,"1,509,640,521.87","8,272,935,543.43",53.414,"-965,738,784.44","442,142,940.56","7,601,025,379.39","35,255,161.10",5.524,23.2272,"8,715,078,483.99",-4.1298,-5.7099,"19,706,779,527.70","1,039,739,724.62",-10.0975,8.3203,14.0646,3.4676,1.435,-3.2661,-28.3829,0.1646,53.03,"1,012,893,412.97","16,316,103,863.38","-764,248,995.37"
合肥常青机械股份有限公司,2012,2.9759,10.5744,"37,021,802.59","1,171,288,954.44",1.6756,0.7084,0.4351,0.074,"45,566,891.14","555,638,203.15",62.6256,"108,489,426.36",,"331,600,319.66",,,,"555,638,203.15",9.2624,16.4005,"884,877,478.81","7,051,514.06",27.8218,5.8279,,,1.3202,8.8127,,,,"81,411,922.20","887,238,522.81","92,257,299.80"
宁波均胜电子股份有限公司,2012,3.785,10.2016,"58,665,038.37","5,358,458,578.26",1.869,0.8459,0.5646,0.2356,"605,242,096.72","2,424,954,062.98",65.1444,"311,711,258.62","940,591,956.28","1,800,743,182.33","49,853,861.71",35.9306,11.3566,"3,365,546,019.26",5.8172,11.0652,"4,411,233,096.54","6,076,087.97",12.3329,10.4589,,2.8935,1.6399,4.9326,58.1065,14.3661,69.12,"783,741,280.64","5,166,289,201.59","248,852,689.07"
宁波圣龙汽车动力系统股份有限公司,2012,2.8616,7.6605,"9,777,500.00","625,770,600.00",2.4137,0.5574,0.3909,0.1532,"55,152,700.00","392,347,000.00",70.7064,"48,226,500.00","11,519,600.00","167,321,800.00",,6.4993,,"403,866,600.00",7.7067,10.155,"488,028,100.00","1,683,200.00",23.7599,7.4717,,,1.0956,6.6574,,,,"45,160,200.00","571,188,400.00","38,600,900.00"
上海汽车集团股份有限公司,2012,2.5289,34.9243,"-115,219,782.30","478,432,576,342.83",1.1875,1.2098,1.0502,0.549,"19,591,127,624.55","156,351,680,391.01",54.2859,"40,156,364,971.19","15,844,962,026.51","145,006,356,550.59","-181,876,268.70",11.4667,25.4721,"172,196,642,417.52",8.3489,12.5738,"400,563,596,693.58","7,975,383,838.31",16.9627,14.7788,15.6357,3.7658,1.5129,7.5143,10.4682,-0.4488,74.3,"5,526,670,004.45","317,202,998,968.11","33,528,253,727.76"
天津一汽夏利汽车股份有限公司,2012,2.9489,216.5123,"64,139,660.28","7,501,953,477.37",1.4292,0.4736,0.3157,0.2736,"-1,024,378,748.66","4,682,750,411.17",58.8348,"51,105,865.34","608,574,981.63","3,702,202,105.40","58,812,026.78",14.2254,-12.9526,"5,291,325,392.80",0.6812,1.2087,"7,205,339,454.76","146,667,589.28",0.9319,9.6791,,1.1454,0.8249,0.4444,-24.6318,-2.182,47.73,"330,308,841.85","8,993,527,498.20","38,077,308.22"
浙江跃岭股份有限公司,2012,2.5289,9.2326,"2,858,446.14","810,516,371.92",0.4728,1.7031,1.3257,0.5709,"127,074,509.08","190,051,048.36",32.104,"109,649,250.38","518,275.80","403,030,446.88","4,485,200.31",0.1284,20.9247,"190,569,324.16",13.5283,19.4801,"611,848,217.48","5,201,810.71",23.5036,7.8417,7.8955,3.054,1.3834,13.6111,-6.3615,2.6629,17.28,"112,144,923.91","593,599,771.04","94,726,839.72"
东风电子科技股份有限公司,2012,2.2288,5.1854,"19,384,381.24","2,448,824,242.60",1.0359,1.0447,0.837,0.293,"310,718,540.71","938,517,160.13",50.8824,"177,484,839.31","3,544,997.83","909,389,217.11","18,435,720.86",0.4894,15.539,"942,062,157.96",7.2478,10.066,"1,990,182,888.11","13,125,310.69",13.4438,9.3524,70.8942,2.8889,1.2581,6.5053,-5.2512,-9.2998,65,"71,115,117.96","1,851,451,375.07","151,266,069.76"
浙江万丰奥威汽轮股份有限公司,2012,2.5259,6.111,"27,898,218.67","4,090,751,916.56",0.5986,2.3862,1.9503,0.9213,"615,830,259.09","741,067,850.79",37.4439,"376,416,665.92","393,423,627.94","1,895,355,761.00","20,055,017.04",20.3688,22.7302,"1,134,491,478.73",9.2016,14.1597,"3,292,761,679.21","18,234,259.92",16.1437,10.6637,4.4017,3.4654,1.461,8.8017,1.0731,10.1908,58.35,"138,874,366.04","3,029,847,239.73","326,264,467.99"
浙江铁流离合器股份有限公司,2012,2.2556,9.6213,"4,707,755.00","757,902,586.38",0.6584,1.7092,1.0379,0.4639,"118,563,166.03","196,583,298.39",39.7014,"92,899,803.62","2,096,982.60","301,756,463.63",,0.6901,,"198,680,280.99",12.2575,19.5045,"544,569,307.91","5,162,427.57",25.9174,4.1266,,,1.5145,11.9902,,,,"29,035,597.23","500,436,744.62","78,207,495.02"
北汽福田汽车股份有限公司,2012,2.6526,21.6765,"248,835,050.87","40,973,308,479.20",1.1995,1.2298,0.9404,0.4737,"-799,342,093.74","13,895,320,748.31",54.5344,"1,643,139,826.38","4,127,770,430.45","15,025,914,996.08","247,174,969.01",21.8874,-1.7707,"18,023,091,178.76",4.0103,6.1805,"36,574,788,819.21","195,914,042.02",9.1866,7.3889,28.953,2.7066,1.3396,3.3805,-20.6647,17.5224,32.93,"3,185,714,735.05","33,049,006,174.84","1,402,191,641.42"
