公司中文名称,年份,"流动资产周转率
[报告期] 2013年报
[单位] 次","应收账款周转率
[报告期] 2013年报
[单位] 次","财务费用
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2013年报","流动比率
[报告期] 2013年报","速动比率
[报告期] 2013年报","现金比率
[报告期] 2013年报","经营活动现金净流量(TTM)
[报告期] 2013年报
[单位] 元","流动负债合计
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2013年报
[单位] %","利润总额(TTM)
[报告期] 2013年报
[单位] 元","非流动负债合计
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2013年报
[单位] 元","长期资本负债率
[报告期] 2013年报
[单位] %","现金流量利息保障倍数
[报告期] 2013年报","负债合计
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2013年报
[单位] %","总资产报酬率ROA
[报告期] 2013年报
[单位] %","主营业务成本
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2013年报
[单位] %","存货周转率
[报告期] 2013年报
[单位] 次","营运资本周转率
[报告期] 2013年报
[单位] 次","非流动资产周转率
[报告期] 2013年报
[单位] 次","总资产周转率
[报告期] 2013年报
[单位] 次","成本费用利润率
[报告期] 2013年报
[单位] %","营业收入(同比增长率)
[报告期] 2013年报
[单位] %","总资产(同比增长率)
[报告期] 2013年报
[单位] %","大股东持股比例
[日期] 2013-12-31
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2013年报
[单位] 元"
宁波拓普集团股份有限公司,2013,2.1767,5.5887,"12,873,376.65","2,308,772,933.81",0.4499,1.7918,1.1042,0.2634,"328,219,455.32","657,757,239.94",31.0309,"395,084,550.39",,"1,461,928,500.32","1,907,869.59",,63.0928,"657,757,239.94",17.1123,20.4058,"1,594,002,937.51","14,658,078.45",23.6344,3.7729,5.6805,2.6093,1.1867,17.8551,23.1353,19.6692,,"104,418,450.28","2,119,685,740.26","341,408,042.20"
重庆秦安机电股份有限公司,2013,1.6598,6.9794,"22,344,235.19","958,586,931.63",0.8003,1.0022,0.6739,0.3897,"285,552,963.23","620,032,244.72",44.4526,"204,545,530.85",,"774,785,241.16",,,,"620,032,244.72",21.3382,17.3434,"653,585,807.50","5,346,130.34",22.4476,3.6988,,1.3119,0.7327,23.171,26.5696,14.1782,91.1528,"35,134,722.29","1,394,817,485.88","173,920,404.58"
桂林福达股份有限公司,2013,1.101,3.7274,"67,899,298.72","1,229,172,396.34",2.9379,0.7259,0.5543,0.215,"263,379,449.98","1,498,342,193.58",74.6059,"156,712,852.88","551,653,920.66","697,771,056.01","62,367,984.01",44.1526,4.0067,"2,049,996,114.24",12.7495,7.9659,"851,149,767.65","6,261,621.58",19.4566,3.0561,,0.7523,0.4469,12.5765,11.2288,-0.1787,,"119,006,158.39","2,747,767,170.25","135,762,347.52"
上海汽车集团股份有限公司,2013,2.6858,32.4956,"-254,715,398.50","563,345,672,365.78",1.3102,1.246,1.0801,0.6352,"20,602,511,608.81","186,339,668,521.53",56.7145,"41,492,997,677.48","25,568,981,169.37","161,732,091,111.04","-266,346,361.95",15.6552,30.948,"211,908,649,690.90",7.3334,11.9352,"490,988,482,076.07","3,439,459,975.60",18.0053,17.5776,14.3884,4.1989,1.638,6.5435,17.7482,17.7923,74.3,"5,625,725,268.74","373,640,740,801.94","35,583,941,512.53"
常州腾龙汽车零部件股份有限公司,2013,1.496,4.0337,"6,211,268.60","448,500,471.61",0.7266,1.6586,1.2558,0.5833,"44,266,501.67","207,082,598.23",42.0842,"88,208,310.38","1,719,228.08","287,350,252.94","4,810,471.00",0.6159,8.5798,"208,801,826.31",19.6674,21.125,"293,373,553.61","2,822,764.76",25.0245,3.8379,4.03,3.1918,1.0186,19.7125,15.663,29.0385,,"28,528,163.37","496,152,079.25","70,180,683.45"
东风电子科技股份有限公司,2013,2.5095,5.3462,"17,641,776.43","3,082,697,718.80",1.3935,0.9894,0.8114,0.2609,"229,335,580.63","1,492,199,222.64",58.2197,"242,534,525.19","42,920,780.17","1,101,649,476.14","16,148,386.52",4.8726,12.1466,"1,535,120,002.81",7.8676,11.5272,"2,533,348,704.63","16,900,509.99",20.4196,11.0015,236.2153,3.035,1.3737,7.8029,25.8848,42.4164,65,"85,200,614.78","2,636,769,478.95","229,967,020.58"
中国重汽集团济南卡车股份有限公司,2013,1.8059,11.1042,"130,755,999.00","21,453,512,362.88",2.3442,1.3076,0.9194,0.6708,"111,543,144.63","9,960,155,568.85",70.0972,"666,306,063.53","1,079,161,729.15","4,709,278,468.18","120,907,976.89",20.8883,0.5827,"11,039,317,298.00",3.1058,5.3379,"19,334,950,253.43","59,405,725.00",9.3128,5.3605,6.7918,7.4809,1.4547,2.4385,10.759,14.5647,63.78,"406,271,708.96","15,748,595,766.18","504,573,517.08"
中国汽车工程研究院股份有限公司,2013,0.6606,10.6926,"-38,297,373.74","1,500,234,527.48",0.2052,4.1729,3.8501,3.2755,"350,046,421.14","546,954,811.93",17.025,"493,093,757.33","129,022,366.57","3,294,521,027.52","-38,885,844.79",3.8252,"2,585.73","675,977,178.50",32.8678,11.93,"937,065,799.35","17,376,590.49",13.0147,4.1926,0.8748,0.9765,0.394,40.1498,31.2316,8.9587,63.69,"210,668,541.07","3,970,498,206.02","423,963,011.62"
力帆实业(集团)股份有限公司,2013,1.1431,7.5074,"338,623,020.49","10,073,236,942.96",1.9997,1.0815,0.8029,0.5691,"-520,041,011.25","8,582,701,028.44",66.6635,"450,386,917.29","3,135,729,899.78","5,860,055,107.75","178,032,469.47",35.4322,-1.9209,"11,718,430,928.22",4.4711,3.9738,"8,160,363,570.92","147,642,950.72",7.4249,3.7046,8.3127,1.4387,0.637,4.1642,16.068,25.1181,61.31,"828,203,932.07","17,578,486,035.97","408,035,219.00"
宁波均胜电子股份有限公司,2013,2.7163,8.0321,"76,468,016.25","6,103,826,483.07",1.4563,1.0378,0.6785,0.2693,"650,462,416.16","2,353,989,906.54",59.2886,"385,648,662.92","1,052,707,319.02","2,339,263,988.82","64,483,670.10",31.5127,8.8347,"3,406,697,225.56",6.3181,8.25,"4,938,896,174.10","7,391,210.03",12.6322,6.4639,,1.9021,1.1187,5.2561,13.9101,11.0804,62.92,"739,456,919.54","5,745,961,214.38","299,993,815.21"
华懋(厦门)新材料科技股份有限公司,2013,1.434,4.0973,"-913,573.15","396,403,543.13",0.4658,1.7861,1.5121,0.8784,"84,572,861.78","178,696,299.60",31.7789,"104,553,690.44","9,213,238.66","403,393,079.50","1,252,404.63",2.2329,23.1224,"187,909,538.26",26.3756,20.1651,"245,542,990.83","2,931,359.86",22.0628,5.4406,3.2427,1.5967,0.7555,30.9333,33.5055,29.0783,,"27,499,954.05","591,302,617.76","88,999,884.36"
华域汽车系统股份有限公司,2013,2.1756,6.8806,"-108,579,493.92","69,329,470,963.42",1.3241,1.3887,1.2304,0.6415,"6,792,534,271.12","24,037,881,763.66",56.9721,"7,188,094,688.05","6,881,303,258.67","23,351,553,366.20","-177,782,584.01",26.979,98.9833,"30,919,185,022.33",10.368,13.6772,"58,452,835,124.65","195,584,333.95",18.585,15.4142,7.0204,3.5759,1.3526,9.839,19.7623,12.5016,60.1,"1,699,942,127.45","54,270,738,388.53","6,345,732,594.48"
东风汽车股份有限公司,2013,1.5422,27.8707,"-6,206,480.77","19,305,694,174.24",1.6032,1.2511,1.0903,0.9863,"-517,253,736.20","10,864,510,615.11",61.5854,"365,954,480.84","1,570,726,858.47","7,756,607,559.59","-325,229.34",20.8335,-9.2134,"12,435,237,473.58",1.8956,1.885,"16,802,776,602.44","350,061,913.28",0.8408,7.9815,8.4531,2.8065,0.9953,1.6002,9.0739,8.5437,60.1,"615,161,035.30","20,191,845,033.17","307,201,182.65"
科华控股股份有限公司,2013,1.393,3.5302,"16,659,551.36","370,134,506.52",2.0095,0.8811,0.6849,0.3116,"27,115,004.04","344,190,569.36",66.7723,"39,229,547.05","32,779,377.08","187,590,482.11","13,673,965.15",14.8747,1.9585,"376,969,946.44",10.5987,10.7407,"258,422,999.47","2,361,783.33",17.848,3.7519,,1.6317,0.7515,10.2437,32.2962,34.2467,,"24,833,247.08","564,560,428.55","33,481,101.12"
宁波高发汽车控制系统股份有限公司,2013,1.6652,6.0085,"3,283,038.24","447,942,914.63",0.6626,1.7846,1.4254,0.9418,"66,586,132.19","178,808,965.25",39.8531,"93,125,920.92","719,333.21","270,946,976.20","2,360,035.82",0.2648,24.3892,"179,528,298.46",20.7897,24.4293,"307,186,691.28","2,930,419.46",29.385,5.7137,3.5229,3.676,1.146,22.1693,40.8748,35.9892,,"23,280,391.40","450,475,274.66","79,617,692.22"
宁波继峰汽车零部件股份有限公司,2013,1.7194,5.1473,"2,460,675.21","750,494,049.77",0.2199,3.2811,2.323,0.9962,"125,171,698.68","149,880,899.32",18.0237,"218,275,099.11",,"681,694,051.89","-742,593.81",,382.905,"149,880,899.32",29.0842,31.0102,"445,990,670.32","6,810,568.77",27.0219,3.6757,2.3042,2.8321,1.0699,34.7279,44.3624,45.5333,,"61,252,215.89","831,574,951.21","184,242,492.56"
