公司中文名称,年份,"流动资产周转率
[报告期] 2017年报
[单位] 次","应收账款周转率
[报告期] 2017年报
[单位] 次","财务费用
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2017年报","流动比率
[报告期] 2017年报","速动比率
[报告期] 2017年报","现金比率
[报告期] 2017年报","经营活动现金净流量(TTM)
[报告期] 2017年报
[单位] 元","流动负债合计
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2017年报
[单位] %","利润总额(TTM)
[报告期] 2017年报
[单位] 元","非流动负债合计
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2017年报
[单位] 元","长期资本负债率
[报告期] 2017年报
[单位] %","现金流量利息保障倍数
[报告期] 2017年报","负债合计
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","主营业务成本
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2017年报
[单位] %","存货周转率
[报告期] 2017年报
[单位] 次","营运资本周转率
[报告期] 2017年报
[单位] 次","非流动资产周转率
[报告期] 2017年报
[单位] 次","总资产周转率
[报告期] 2017年报
[单位] 次","成本费用利润率
[报告期] 2017年报
[单位] %","营业收入(同比增长率)
[报告期] 2017年报
[单位] %","总资产(同比增长率)
[报告期] 2017年报
[单位] %","大股东持股比例
[日期] 2018-03-01
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2017年报
[单位] 元"
富奥汽车零部件股份有限公司,2017,1.4775,4.9291,"-10,639,908.87","7,193,263,144.16",0.6388,1.6868,1.4873,0.8997,"462,896,928.01","3,177,456,611.74",38.9791,"879,444,952.69","862,468,799.43","6,324,423,081.07","-12,892,424.32",13.0416,65.6962,"4,039,925,411.17",12.226,8.9164,"5,861,455,733.27","64,276,722.10",14.4598,9.1239,3.5431,1.4831,0.7401,12.103,22.8161,14.233,24.41,"296,605,314.19","10,364,348,492.24","818,894,935.42"
潍柴动力股份有限公司,2017,1.7151,12.17,"590,752,971.58","151,569,392,236.63",2.3651,1.2786,1.0257,0.7633,"16,258,332,195.39","78,473,527,574.89",70.2829,"10,522,267,498.12","54,809,647,824.13","56,354,991,230.50","437,872,923.92",60.8664,11.6544,"133,283,175,399.02",6.9422,6.1987,"118,467,630,098.34","738,068,687.50",19.3202,6.5923,7.715,1.7138,0.8572,6.6032,62.6569,15.961,24.23,"23,839,954,192.45","189,638,166,629.52","9,178,366,777.82"
江铃汽车股份有限公司,2017,1.8198,18.0186,"-243,643,853.00","31,345,746,762.00",1.0985,1.3386,1.1659,0.8708,"674,814,163.00","13,541,079,516.00",52.348,"761,822,825.00","270,279,252.00","12,572,401,985.00","-230,468,686.00",2.1045,"3,004.64","13,811,358,768.00",2.4304,2.0888,"25,045,089,962.00","967,011,351.00",5.4957,11.7214,6.9346,3.816,1.2322,2.2878,17.6909,7.7161,41.03,"808,036,832.00","26,383,760,753.00","690,938,249.00"
万向钱潮股份有限公司,2017,1.5791,5.6729,"69,896,875.80","11,154,241,411.27",1.1381,1.3213,0.9672,0.5524,"1,190,781,024.21","5,279,901,422.27",53.2298,"1,029,992,254.57","857,161,543.28","5,392,301,286.79","59,677,934.02",14.5104,12.2171,"6,137,062,965.55",9.2341,9.456,"8,849,103,930.27","63,965,660.86",17.4555,5.2156,7.7095,2.5011,0.968,9.0749,3.4158,0.101,56.5,"194,228,075.23","11,529,364,252.34","923,541,531.96"
海马汽车集团股份有限公司,2017,1.6212,14.4142,"11,666,358.44","9,683,194,932.86",0.9102,0.9071,0.6947,0.4253,"-1,808,387,111.83","6,395,583,578.19",47.6495,"-1,448,735,807.06","1,129,667,324.84","8,267,685,768.19","5,393,132.34",14.7108,-61.3326,"7,525,250,903.03",-14.3736,-8.4925,"8,727,239,356.36","357,388,620.92",-15.1822,5.8607,,0.9351,0.593,-13.3483,-30.2869,-13.2167,28.8,"1,406,028,597.53","15,792,936,671.22","-1,415,246,495.73"
无锡威孚高科技集团股份有限公司,2017,0.8208,5.4316,"7,316,996.79","9,017,280,159.80",0.3179,2.8026,2.4587,1.0659,"957,697,901.07","4,299,741,437.98",24.1196,"2,830,415,981.75","579,897,922.15","15,351,366,864.23","-7,486,253.52",3.7618,85.199,"4,879,639,360.13",31.3888,15.0577,"6,761,729,398.36","72,413,140.48",17.3321,4.7813,1.2419,1.1617,0.481,33.5314,40.397,17.1876,20.22,"340,632,143.36","20,231,006,224.36","2,647,209,924.58"
重庆长安汽车股份有限公司,2017,1.2429,48.4094,"-524,973,961.02","80,012,205,182.37",1.2359,1.1493,1.0639,0.9485,"-1,369,576,776.83","54,602,700,070.83",55.2762,"7,180,889,557.21","4,059,235,293.40","47,463,179,258.46","-561,470,149.10",7.8579,-28.3353,"58,661,935,364.23",8.9747,6.2261,"69,363,032,740.85","3,074,023,009.42",14.9946,11.5892,11.3034,1.9077,0.7526,9.2302,1.8713,-0.3618,40.88,"4,047,945,129.67","106,125,114,622.69","7,208,437,270.06"
江南模塑科技股份有限公司,2017,1.8588,6.9263,"87,151,215.31","4,340,149,793.15",1.8013,0.7469,0.5591,0.2817,"76,141,929.46","3,756,094,649.33",64.302,"170,624,508.90","1,087,443,682.83","2,688,947,523.55","59,674,433.64",28.7958,0.8732,"4,843,538,332.16",3.9313,3.4202,"3,393,814,170.52","39,481,109.94",5.0007,6.3125,,0.9867,0.6446,3.1281,7.7864,11.5131,35.32,"154,199,695.66","7,532,485,855.71","134,464,860.97"
斯太尔动力股份有限公司,2017,0.1728,2.2737,"37,113,640.03","151,361,076.93",0.3259,1.5725,1.195,0.5879,"-349,491,480.11","544,860,064.46",24.581,"-101,265,357.95","46,608,362.41","1,814,733,164.76","34,229,922.49",2.504,-9.4861,"591,468,426.87",-66.9032,-2.4831,"145,896,240.01","2,378,416.72",-9.3095,0.7544,0.5538,0.083,0.0561,-42.2128,-57.5314,-19.6065,14.91,"182,770,014.41","2,406,201,591.63","-169,873,442.43"
一汽轿车股份有限公司,2017,2.6185,160.7991,"29,846,323.90","27,902,212,401.81",1.3192,1.0765,0.8528,0.8032,"2,285,079,917.64","9,921,105,410.28",56.8809,"461,277,414.56","623,455,275.53","7,993,392,144.17","27,428,007.85",7.2497,55.2614,"10,544,560,685.81",1.6532,2.6004,"21,629,241,032.87","1,685,147,477.74",3.5259,8.6079,112.8341,3.4289,1.4847,1.2206,22.8632,-2.6822,53.03,"644,685,842.71","18,537,952,829.98","317,904,404.82"
