公司中文名称,年份,"流动资产周转率
[报告期] 2016年报
[单位] 次","应收账款周转率
[报告期] 2016年报
[单位] 次","财务费用
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2016年报","流动比率
[报告期] 2016年报","速动比率
[报告期] 2016年报","现金比率
[报告期] 2016年报","经营活动现金净流量(TTM)
[报告期] 2016年报
[单位] 元","流动负债合计
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2016年报
[单位] %","利润总额(TTM)
[报告期] 2016年报
[单位] 元","非流动负债合计
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2016年报
[单位] 元","长期资本负债率
[报告期] 2016年报
[单位] %","现金流量利息保障倍数
[报告期] 2016年报","负债合计
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","主营业务成本
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2016年报
[单位] %","存货周转率
[报告期] 2016年报
[单位] 次","营运资本周转率
[报告期] 2016年报
[单位] 次","非流动资产周转率
[报告期] 2016年报
[单位] 次","总资产周转率
[报告期] 2016年报
[单位] 次","成本费用利润率
[报告期] 2016年报
[单位] %","营业收入(同比增长率)
[报告期] 2016年报
[单位] %","总资产(同比增长率)
[报告期] 2016年报
[单位] %","大股东持股比例
[日期] 2017-03-01
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2016年报
[单位] 元"
富奥汽车零部件股份有限公司,2016,1.4423,4.6487,"-9,787,037.59","5,856,937,609.16",0.5711,1.7517,1.4912,0.8681,"600,774,202.76","2,498,905,966.35",36.35,"705,831,206.20","799,125,539.76","5,774,955,787.49","-13,117,167.41",13.3785,93.3837,"3,298,031,506.11",12.0512,8.0744,"4,767,023,080.82","54,249,270.95",13.0789,7.7967,3.1834,1.2963,0.6827,12.1473,35.2169,12.2148,24.41,"296,834,321.69","9,072,987,293.60","676,619,091.91"
潍柴动力股份有限公司,2016,1.3892,9.1749,"198,822,884.84","93,183,521,384.54",2.6801,1.2954,1.0226,0.7459,"8,250,433,471.03","58,980,381,718.83",72.8267,"4,637,646,771.44","60,448,628,950.89","44,561,669,859.22","492,457,470.90",65.5718,6.4273,"119,429,010,669.72",4.9769,3.6793,"72,099,983,058.63","450,858,197.34",7.6916,5.1625,5.2782,1.2879,0.6683,4.1055,25.6389,41.566,24.22,"25,362,976,371.96","163,990,680,528.94","3,596,253,651.27"
江铃汽车股份有限公司,2016,1.7885,20.265,"-194,928,633.00","26,633,948,551.00",0.9738,1.3754,1.2124,1.0258,"4,593,392,536.00","11,867,693,193.00",49.3372,"1,481,591,248.00","216,859,341.00","12,409,236,276.00","-208,849,133.00",1.7175,"26,308.24","12,084,552,534.00",5.5628,5.589,"20,612,722,940.00","823,493,757.00",10.6213,11.2483,5.8239,3.3797,1.1696,5.3058,8.5864,16.356,41.03,"742,094,115.00","24,493,788,810.00","1,318,016,125.00"
万向钱潮股份有限公司,2016,1.3819,5.3199,"110,133,080.33","10,785,821,704.48",1.4382,1.2011,0.9452,0.5649,"1,248,193,166.06","5,954,182,910.33",58.9862,"1,003,081,287.74","839,694,484.81","4,723,857,821.74","118,431,469.45",16.181,7.2431,"6,793,877,395.14",9.3,9.244,"8,418,649,994.88","59,109,296.28",19.1693,5.4006,5.6845,2.4924,0.889,9.0953,5.3124,-10.398,51.53,"193,492,155.76","11,517,735,216.88","890,515,058.78"
海马汽车集团股份有限公司,2016,1.9841,88.709,"-24,464,520.08","13,890,070,950.71",0.8877,0.7943,0.6003,0.5144,"354,389,956.37","8,350,786,248.40",47.0243,"62,133,097.15","206,753,151.67","9,640,590,205.60","-12,331,396.98",2.6822,168.5702,"8,557,539,400.07",0.4364,0.2798,"11,998,371,816.05","617,934,990.07",3.0691,7.5883,,1.3407,0.8001,0.0963,17.0529,4.6053,28.8,"1,580,363,128.72","18,198,129,605.67","12,967,237.84"
无锡威孚高科技集团股份有限公司,2016,0.6959,4.9675,"-9,109,442.62","6,422,700,399.27",0.2885,3.1498,2.7213,1.6668,"527,344,364.04","3,149,539,287.87",22.3899,"1,818,546,690.50","715,802,219.39","13,398,430,390.52","-8,520,009.82",5.2466,41.9608,"3,865,341,507.26",28.3144,10.9806,"4,884,458,125.87","47,718,976.36",12.9356,4.4103,1.0348,0.8853,0.3896,29.3235,11.8617,9.9317,20.22,"347,206,518.76","17,263,771,897.78","1,726,004,780.52"
重庆长安汽车股份有限公司,2016,1.3355,66.16,"-305,390,915.29","78,542,441,757.19",1.4568,1.1001,0.9783,0.8965,"2,286,551,305.20","59,994,282,854.70",59.2968,"10,349,824,780.25","3,163,031,329.17","43,353,159,550.06","-287,242,024.76",6.7677,18.6898,"63,157,314,183.87",13.1774,10.2719,"64,487,605,908.58","3,629,619,040.93",23.6043,8.357,21.3756,2.0061,0.8018,13.7747,17.6285,19.1206,40.88,"3,444,950,675.03","106,510,473,733.93","10,276,594,658.84"
江南模塑科技股份有限公司,2016,1.8778,6.2911,"49,328,171.30","3,191,021,808.57",0.9123,0.7398,0.5929,0.3013,"312,205,635.97","2,520,478,779.30",47.7059,"233,121,005.30","310,563,242.13","3,103,325,489.14","46,790,508.12",9.0971,6.2505,"2,831,042,021.43",7.3055,5.3357,"2,479,331,333.74","30,305,730.70",5.9991,7.1886,,0.8997,0.6083,6.0777,1.743,28.6137,33.07,"119,814,507.34","5,934,367,510.57","186,173,105.07"
斯太尔动力股份有限公司,2016,0.4602,4.5532,"8,362,638.17","356,406,745.39",0.4307,1.3554,1.0812,0.7497,"46,128,797.87","660,464,408.34",30.1028,"76,804,181.32","240,519,679.40","2,092,044,530.52","7,792,909.16",10.6787,5.3109,"900,984,087.74",21.5496,3.4237,"127,664,715.60","2,980,866.95",2.2891,0.7692,1.238,0.2101,0.1442,13.9842,2.8368,53.5852,14.91,"194,656,067.87","2,993,028,618.26","43,747,824.51"
一汽轿车股份有限公司,2016,2.3308,238.5765,"107,870,842.05","22,709,984,165.51",1.4824,0.9758,0.7182,0.6709,"567,644,520.67","10,896,324,427.26",59.7165,"-992,177,479.65","479,003,134.02","7,673,546,388.16","106,302,040.07",5.8646,4.9288,"11,375,327,561.28",-4.3689,-4.7772,"18,225,413,595.33","1,331,468,748.46",-12.412,5.9635,,2.5807,1.2247,-4.4562,-14.8285,5.6015,53.03,"823,507,240.84","19,048,873,949.44","-1,002,737,192.38"
